VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
YV4H60CM0N,King,Seattle,WA,98115,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,46,280507041,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
5YJYGDEE0M,King,Kent,WA,98042,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,47,181573836,POINT (-122.10798 47.37124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405
2C4RC1N77J,Pierce,Puyallup,WA,98373,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,25,261829487,POINT (-122.2988 47.13795),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071304
7SAYGDEF3P,King,Seattle,WA,98146,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,34,234928571,POINT (-122.36322 47.49736),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000
1G1FX6S03J,King,Seattle,WA,98133,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,46,252559142,POINT (-122.33364 47.73709),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000300
7SYEA3YB6S,King,Kirkland,WA,98033,2025,POLESTAR,POLESTAR 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,48,286565849,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
JTMAB3FV4R,Clark,Yacolt,WA,98675,2024,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,18,261065871,POINT (-122.40908 45.86679),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040102
JTMABACA6R,Snohomish,Lake Stevens,WA,98258,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,271722433,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
WBA7W4C05L,Spokane,Spokane,WA,99208,2020,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,6,8919494,POINT (-117.45005 47.7333),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010702
KNDCR3L10S,King,Seatac,WA,98198,2025,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,33,280685667,POINT (-122.30615 47.38542),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028801
KMHM54AC0R,Snohomish,Monroe,WA,98272,2024,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,39,273756416,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208
1G1FZ6S04L,Skagit,Mount Vernon,WA,98274,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,10,261987589,POINT (-122.32295 48.4152),PUGET SOUND ENERGY INC,53057951200
7SAYGDEE6S,Pierce,Tacoma,WA,98404,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,27,276314986,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053063302
